elevation,slope,aspect,lst,ndvi,precip,fire_label
594.0,89.9973,183.65222,36.47653921598444,0.4865102687311422,36.18356215191053,1
763.0,89.99876,120.57922,36.641490919945475,0.5021775646206651,36.13376686468359,1
506.0,89.99844,54.950626,36.52226388974681,0.49423542706962154,36.04662511203643,1
506.0,89.998856,287.78387,36.26786483735063,0.5468733440713646,35.99682982480926,1
398.0,89.99828,175.36453,35.944408840309364,0.5759496332543863,37.52706923894749,1
612.0,89.99833,183.01279,37.022818069946084,0.4936890455630421,35.947034537582326,1
536.0,89.99897,78.326294,37.211657851925395,0.4718811269238443,35.50769659849224,1
595.0,89.995766,176.18593,37.164056306435484,0.49210461926471694,35.63581399241393,1
209.0,89.97153,153.43495,44.14943384866784,0.23264918729331857,18.994625851441135,1
196.0,89.98883,164.74487,39.3183943001557,0.41924910702396007,20.779585484586008,1
1811.0,89.999084,3.704628,32.856460164294816,0.6079759204748363,57.01249772925691,0
911.0,89.99908,338.66315,36.30459229051113,0.4830186498594115,40.63557933476184,0
4501.0,89.99964,148.92477,5.350684764687774,0.05139214764959395,91.85641939392758,0
5531.0,89.9992,114.623566,0.6681855005559424,-0.03968478270542585,63.223281796453435,0
2054.0,89.998985,278.25946,27.547499911486888,0.7305812217544784,53.151248843941005,0
5571.0,89.99889,157.45694,-0.762367879392809,-0.035963049975664046,61.614740328002796,0
1488.0,89.99937,194.31104,32.361871234020974,0.5963346966052826,44.83383553399713,0
1854.0,89.997025,79.2157,34.30822387724473,0.4745686470556417,64.21430809990707,0
650.0,89.998055,51.20345,37.23685763501321,0.5245002337283318,35.10444492349947,0
5728.0,89.99943,301.40515,-3.3978524550652454,-0.04731283433145831,87.17910158478925,0
2340.0,89.99781,47.7927,22.703224395802344,0.8355551461335211,62.27109453732694,0
3629.0,89.99928,254.63153,19.917263108580816,0.4533330107720535,45.86357979694892,0
1570.0,89.998116,64.57313,30.82532687947388,0.47287757838942834,67.23336428197386,0
225.0,89.9852,125.537674,35.28622704849826,0.33639693602583304,8.898459029855252,0
247.0,89.98594,353.6598,36.567779100500466,0.5814940279952105,17.22477141275247,0
2287.0,89.99935,5.5651016,25.05182872439438,0.7010569505414227,152.66018856784302,0
1528.0,89.995415,149.74356,31.178184765879735,0.49503564774082787,71.7777222486015,0
605.0,89.9989,280.9228,35.98054493666119,0.3801280421284746,31.224404080081232,0
287.0,89.97153,296.56506,40.957243109040974,0.3336749849446573,20.313454833455456,0
5107.0,89.99881,347.00537,0.4265786574885593,-0.029493667430874723,69.43572346591343,0
2076.0,89.99938,294.94977,25.565768720557564,0.6838983145599127,56.240869009104564,0
5084.0,89.999435,172.30396,9.81169555941737,-0.012815964869975303,54.75409409327759,0
282.0,89.95974,341.56506,40.165718884414346,0.4174346313737211,22.504356102385913,0
4533.0,89.99889,114.1142,6.1936479918624645,0.038501350560626424,52.9292048610674,0
3208.0,89.9991,108.17802,22.776773867113217,0.6324843046668751,56.46723940733729,0
2324.0,89.99906,314.4032,23.368457960737423,0.7737619993392321,48.21725459059991,0
256.0,89.979866,251.56505,28.457806334477482,0.46660914797739994,29.657707210505773,1
227.0,89.97153,296.56506,27.893253729850223,0.6034379882547204,27.269920261319733,1
208.0,89.98456,75.96376,28.379261084929745,0.5254954958295821,38.52897412590276,1
207.0,89.981995,188.1301,28.24781542016169,0.5303160135274627,38.08799850282254,1
4167.0,89.998955,139.65335,-0.9344288518223547,-0.030005820477213396,106.859979494541,0
918.0,89.99843,331.22018,22.855235482385265,0.5889677094072389,83.78176616575587,0
263.0,89.979866,18.434952,38.48559384469669,0.5505798473063882,398.96960112990917,1
1396.0,89.998,318.8141,19.263297609737258,0.5270903417381219,2.6707708590015127,1
274.0,89.93634,0.0,23.30856610093389,0.49090667650332676,16.169907034649185,1
265.0,89.97749,315.0,22.961148864610415,0.5654854206198986,0.9509823040015717,0
2701.0,89.99889,311.4677,13.032119628560489,0.7024383140058439,155.2005661818292,0
1631.0,89.99927,7.2889557,18.389742302586193,0.5730259999298851,77.66235659018263,0
296.0,89.993095,167.47119,32.580346248636964,0.49239933993909135,85.04300916715944,1
850.0,89.99949,44.6763,28.42080178418612,0.5345935791223586,163.204012114248,1
1867.0,89.99913,317.77917,24.603964116977405,0.6413217385651728,161.10643859636366,0
5063.0,89.99925,113.99678,-2.382515045676665,-0.042671224555046516,385.3500768592495,0
1367.0,89.99926,251.98788,32.40916711849765,0.43321217611707113,246.6091188447931,1
1114.0,89.998665,85.78582,33.967244735086794,0.43280780391704066,150.4429216254498,1
1420.0,89.99908,157.89055,31.922241839993024,0.45984674330854447,102.60036093789586,1
1096.0,89.998856,64.35899,35.3420525135181,0.36486945444324803,134.38077827441296,1
1008.0,89.99879,359.45435,35.42115115509003,0.4093178180978009,135.0529073942574,1
967.0,89.99921,211.81703,35.35030800210182,0.41654905276045917,142.35738677362303,1
1898.0,89.999344,201.41835,26.892846569510173,0.5155826563558512,185.53197736730934,1
1619.0,89.99928,243.14558,28.81980845150685,0.554865240420861,196.88640759507368,1
551.0,89.99839,42.95459,33.435057865626284,0.44876690602027736,159.83193562384645,0
4916.0,89.99875,318.1798,11.01292175117022,0.055130513503882775,126.13603257594983,0
3112.0,89.99897,231.55695,18.86043778431776,0.7430122828826671,176.53715030424507,0
2856.0,89.99591,174.47246,17.111466412735613,0.6899704986238775,179.11177885359297,0
2039.0,89.99923,235.83008,27.247897510460678,0.618504207516938,175.97828684259784,0
1138.0,89.98727,143.1301,30.562976851847232,0.5055807648518885,302.5585207906643,0
1496.0,89.9993,26.847294,29.820694023252287,0.5211114551785235,158.06902885001426,0
659.0,89.98953,99.462326,32.99680749896922,0.7291940101767691,117.88789579349894,0
1304.0,89.99919,342.2553,25.37029308520346,0.6536537316469071,0.0,1
250.0,89.98499,225.0,29.66262659362148,0.45190889930069883,0.0,1
238.0,89.98727,143.1301,29.669935580817338,0.5201929751835628,0.0,1
233.0,89.97153,296.56506,29.717989268278053,0.3490590334058902,1.2664905941823839,1
223.0,89.95974,251.56505,32.05401248132795,0.2892133149427079,13.633563904829453,1
219.0,89.98763,299.05463,31.31521231180679,0.2887303921997779,14.054878286615269,1
220.0,89.98727,306.8699,32.52792843184549,0.2998890885518605,16.41423882461738,1
220.0,89.97749,315.0,31.89400279220328,0.3292386391217318,16.835553206403198,1
224.0,89.98456,165.96375,32.13539147109826,0.3091367613897382,2.944712942395863,1
224.0,89.99086,201.0375,31.487158506045006,0.4024760035873984,0.0,1
220.0,89.99006,128.6598,31.158692340635774,0.4718672971225537,0.0,1
214.0,89.97153,63.434948,32.47647341361001,0.2598824443119403,25.95204037514151,1
216.0,89.97503,348.69006,32.33798534460625,0.3182255139093912,23.171365455353584,1
208.0,89.97749,45.0,30.92704480856259,0.3444350978650407,22.703814827198826,1
210.0,89.984085,0.0,32.75045721721722,0.36950436037204515,8.29770626107319,1
200.0,89.98456,165.96375,31.565974089899562,0.3881639229459886,0.23125244516969706,1
198.0,89.95974,108.43495,31.472533392920674,0.2955848566049758,0.0,1
201.0,89.93634,270.0,31.383129170140094,0.38345646169857955,0.8779116180749181,1
5620.0,89.983284,336.8014,3.234708659808367,-0.08647189905803039,0.6461712408048987,0
4693.0,89.99915,262.73303,12.224003116874119,0.06424831435977288,0.04161187567787088,0
1736.0,89.99943,11.915146,21.650688477914752,0.8015323674460461,6.4964009929595745,0
4671.0,89.99948,139.6001,14.8831170208181,0.11483556481463483,0.22519085021521684,0
2502.0,89.99839,79.82449,19.639324147909342,0.8610349498414671,0.0,0
1492.0,89.9992,3.95755,23.337385548354735,0.6923310025167851,10.136078151508183,0
